Активно;Тип расчета;Параметр товарной акции;Приоритет;Дата начала действия;Дата окончания действия;Ответственный;Название;Внешний идентификатор;Описание;Значение для товарной акции;Минимальное количество товара по акции;Максимальное количество товара по акции;Минимальная сумма товара по акции;Кол-во товара;По цене товара;Товар;Подгруппа товаров;Группа товаров;Подкатегория товаров;Категории товаров;Бренд;Производитель;Мерчант
Да;Фиксированная цена;Промо 11 по бонусной карте 08.06.2020-21.06.2020;50;08.06.2020;21.06.2020;Александра Хопова;Кета соломка 80г ЛОВИМ&ВЯЛИМ Россия;;;149,9;0,1;45;1;;;РН114504;;;;;;;
Да;Фиксированная цена;Промо 11 по бонусной карте 08.06.2020-21.06.2020;50;08.06.2020;21.06.2020;Александра Хопова;Нерка ломтики слабосоленые 120гр KAMCHATKA Premium seafood;;;349,9;0,1;45;1;;;РН200208;;;;;;;
Да;Фиксированная цена;Промо 11 по бонусной карте 08.06.2020-21.06.2020;50;08.06.2020;21.06.2020;Александра Хопова;Скумбрия кусочки в масле 400г ТМ Форгрейт Россия;;;149,9;0,1;45;1;;;РН200980;;;;;;;
Да;Фиксированная цена;Промо 11 по бонусной карте 08.06.2020-21.06.2020;50;08.06.2020;21.06.2020;Александра Хопова;Форель радужная вяленая филе-ломтики и кусочки(чипсы) 80г Дивный берег Россия;;;259,9;0,1;45;1;;;РН114403;;;;;;;
Да;Фиксированная цена;Промо 11 по бонусной карте 08.06.2020-21.06.2020;50;08.06.2020;21.06.2020;Александра Хопова;Кета кусочки х/к 140г Дивный берег Россия;;;199,9;0,1;45;1;;;РН201033;;;;;;;
Да;Фиксированная цена;Промо 11 по бонусной карте 08.06.2020-21.06.2020;50;08.06.2020;21.06.2020;Александра Хопова;Клешн.мал. краба имит.из сурими в чесн. масле 360г Вичи Россия;;;215,9;0,1;45;1;;;РН106945;;;;;;;
Да;Фиксированная цена;Промо 11 по бонусной карте 08.06.2020-21.06.2020;50;08.06.2020;21.06.2020;Александра Хопова;Риет лосос.с каперсами и укропом 100г ст/б Меридиан Эко Россия;;;114,9;0,1;45;1;;;РН101403;;;;;;;
Да;Фиксированная цена;Промо 11 по бонусной карте 08.06.2020-21.06.2020;50;08.06.2020;21.06.2020;Александра Хопова;Коктейль из морепродуктов в рассоле 415г пл/б Меридиан Россия;;;269,9;0,1;45;1;;;РН101407;;;;;;;
Да;Фиксированная цена;Промо 11 по бонусной карте 08.06.2020-21.06.2020;50;08.06.2020;21.06.2020;Александра Хопова;Паста Крем-фиш кальмар/кревет. 150г пл.ст.Европром Россия;;;79,9;0,1;45;1;;;РН105475;;;;;;;
Да;Фиксированная цена;Промо 11 по бонусной карте 08.06.2020-21.06.2020;50;08.06.2020;21.06.2020;Александра Хопова;Ассорти из морепрод. в рассоле 400г Два капитана Россия;;;179,9;0,1;45;1;;;РН099137;;;;;;;
Да;Фиксированная цена;Промо 11 по бонусной карте 08.06.2020-21.06.2020;50;08.06.2020;21.06.2020;Александра Хопова;Форель филе-кусок сл/сол 200г Санта Бремор Беларусь;;;339,9;0,1;45;1;;;РН040732;;;;;;;
Да;Фиксированная цена;Промо 11 по бонусной карте 08.06.2020-21.06.2020;50;08.06.2020;21.06.2020;Александра Хопова;Мясо крабовое классич. охл. 200г пол/у Санта Бремор Беларусь;;;69,9;0,1;45;1;;;РН013835;;;;;;;
Да;Фиксированная цена;Промо 11 по бонусной карте 08.06.2020-21.06.2020;50;08.06.2020;21.06.2020;Александра Хопова;Палочки краб.классич. охл. 200г пол/у Санта Бремор Беларусь;;;69,9;0,1;45;1;;;РН013836;;;;;;;
Да;Фиксированная цена;Промо 11 по бонусной карте 08.06.2020-21.06.2020;50;08.06.2020;21.06.2020;Александра Хопова;Сельдь атлант. Исландка в кр.вине 115г Русское Море Беларусь;;;74,9;0,1;45;1;;;РН082583;;;;;;;
Да;Фиксированная цена;Промо 11 по бонусной карте 08.06.2020-21.06.2020;50;08.06.2020;21.06.2020;Александра Хопова;Сельдь атлант. Исландка в масле 115г Русское Море Беларусь;;;74,9;0,1;45;1;;;РН082584;;;;;;;
Да;Фиксированная цена;Промо 11 по бонусной карте 08.06.2020-21.06.2020;50;08.06.2020;21.06.2020;Александра Хопова;Капуста мор. классическая 200г Русское Море Россия;;;35,9;0,1;45;1;;;РН037919;;;;;;;
Да;Фиксированная цена;Промо 11 по бонусной карте 08.06.2020-21.06.2020;50;08.06.2020;21.06.2020;Александра Хопова;Капуста мор. с кальмаром 200г Русское Море Россия;;;44,9;0,1;45;1;;;РН037920;;;;;;;
Да;Фиксированная цена;Промо 11 по бонусной карте 08.06.2020-21.06.2020;50;08.06.2020;21.06.2020;Александра Хопова;Кап.морск.марин.с луком и сл.перц.200г Русское море Беларусь;;;35,9;0,1;45;1;;;РН037921;;;;;;;
Да;Фиксированная цена;Промо 11 по бонусной карте 08.06.2020-21.06.2020;50;08.06.2020;21.06.2020;Александра Хопова;Паста из мор.пр.Creme Le Mare с чес. 150г Балт.Берег. Россия;;;74,9;0,1;45;1;;;РН110770;;;;;;;
Да;Фиксированная цена;Промо 11 по бонусной карте 08.06.2020-21.06.2020;50;08.06.2020;21.06.2020;Александра Хопова;Паста из мор.пр.Creme Le Mare Сливочная 150г Балт.Берег Россия;;;74,9;0,1;45;1;;;РН110771;;;;;;;
Да;Фиксированная цена;Промо 11 по бонусной карте 08.06.2020-21.06.2020;50;08.06.2020;21.06.2020;Александра Хопова;Омуль ломтики х/к в/у 100г ООО Якутская рыбная компания.Россия;;;169,9;0,1;45;1;;;РН112556;;;;;;;
Да;Фиксированная цена;Промо 11 по бонусной карте 08.06.2020-21.06.2020;50;08.06.2020;21.06.2020;Александра Хопова;Сельдь с/с ф/кус в масле с укропом 500г Океан Россия;;;186,9;0,1;45;1;;;РН094763;;;;;;;
Да;Фиксированная цена;Промо 11 по бонусной карте 08.06.2020-21.06.2020;50;08.06.2020;21.06.2020;Александра Хопова;Судак заливное 280г ОКЕАН ТРК Россия;;;199,9;0,1;45;1;;;РН073122;;;;;;;
Да;Фиксированная цена;Промо 11 по бонусной карте 08.06.2020-21.06.2020;50;08.06.2020;21.06.2020;Александра Хопова;Сельдь с/с филе-кусочки в масле 500г Океан Россия;;;189,9;0,1;45;1;;;РН094762;;;;;;;
Да;Фиксированная цена;Промо 11 по бонусной карте 08.06.2020-21.06.2020;50;08.06.2020;21.06.2020;Александра Хопова;Камбала вяленая вес Россия;;;649,9;0,1;45;1;;;РН086545;;;;;;;
Да;Фиксированная цена;Промо 11 по бонусной карте 08.06.2020-21.06.2020;50;08.06.2020;21.06.2020;Александра Хопова;Сельдь сл/с 400+ вес Россия;;;189,9;0,1;45;1;;;РН102501;;;;;;;
Да;Фиксированная цена;Промо 11 по бонусной карте 08.06.2020-21.06.2020;50;08.06.2020;21.06.2020;Александра Хопова;Рыба Сельдь/филе с кожей/ х/к в/у 200г ЭкстраФиш Россия;;;119,9;0,1;45;1;;;РН112816;;;;;;;
Да;Фиксированная цена;Промо 11 по бонусной карте 08.06.2020-21.06.2020;50;08.06.2020;21.06.2020;Александра Хопова;Горбуша г/к кусок вес Экстра Фиш Россия;;;499,9;0,1;45;1;;;РН115945;;;;;;;
Да;Фиксированная цена;Промо 11 по бонусной карте 08.06.2020-21.06.2020;50;08.06.2020;21.06.2020;Александра Хопова;Кета (спинка) х/к вес Экстра Фиш Россия;;;799,9;0,1;45;1;;;РН115947;;;;;;;
Да;Фиксированная цена;Промо 11 по бонусной карте 08.06.2020-21.06.2020;50;08.06.2020;21.06.2020;Александра Хопова;Кижуч г/к кусок вес Экстра Фиш Россия;;;1389,9;0,1;45;1;;;РН115953;;;;;;;
Да;Фиксированная цена;Промо 11 по бонусной карте 08.06.2020-21.06.2020;50;08.06.2020;21.06.2020;Александра Хопова;Рыба Вомер х/к вес Экстра Фиш Россия;;;459,9;0,1;45;1;;;РН117473;;;;;;;
Да;Фиксированная цена;Промо 11 по бонусной карте 08.06.2020-21.06.2020;50;08.06.2020;21.06.2020;Александра Хопова;Продукт мясн. Сосиски Молочные вес Мираторг Россия;;;399,9;0,1;45;1;;;РН104987;;;;;;;
Да;Фиксированная цена;Промо 11 по бонусной карте 08.06.2020-21.06.2020;50;08.06.2020;21.06.2020;Александра Хопова;Паштет по-домашнему банка 130г Мираторг РОССИЯ;;;64,9;0,1;45;1;;;РН112692;;;;;;;
Да;Фиксированная цена;Промо 11 по бонусной карте 08.06.2020-21.06.2020;50;08.06.2020;21.06.2020;Александра Хопова;Сосиски Молочные ц/о 400г МИРАТОРГ РОССИЯ;;;159,9;0,1;45;1;;;РН113724;;;;;;;
Да;Фиксированная цена;Промо 11 по бонусной карте 08.06.2020-21.06.2020;50;08.06.2020;21.06.2020;Александра Хопова;Изд.колб. с/к Брауншвейгская полусухая вес~1кг МИРАТОРГ РОССИЯ;;;1189,9;0,1;45;1;;;РН114358;;;;;;;
Да;Фиксированная цена;Промо 11 по бонусной карте 08.06.2020-21.06.2020;50;08.06.2020;21.06.2020;Александра Хопова;Паштет с черносливом и арахисом охл 130г МИРАТОРГ РОССИЯ;;;64,9;0,1;45;1;;;РН200538;;;;;;;
Да;Фиксированная цена;Промо 11 по бонусной карте 08.06.2020-21.06.2020;50;08.06.2020;21.06.2020;Александра Хопова;Паштет с копченым беконом банка 130г МИРАТОРГ РОССИЯ;;;64,9;0,1;45;1;;;РН200540;;;;;;;
Да;Фиксированная цена;Промо 11 по бонусной карте 08.06.2020-21.06.2020;50;08.06.2020;21.06.2020;Александра Хопова;Паштет с грушей банка 130г МИРАТОРГ РОССИЯ;;;64,9;0,1;45;1;;;РН200541;;;;;;;
Да;Фиксированная цена;Промо 11 по бонусной карте 08.06.2020-21.06.2020;50;08.06.2020;21.06.2020;Александра Хопова;Прод.мясн.к\в Грудинка пряная (Поркетта) 360гМираторг Россия;;;239,9;0,1;45;1;;;РН113723;;;;;;;
Да;Фиксированная цена;Промо 11 по бонусной карте 08.06.2020-21.06.2020;50;08.06.2020;21.06.2020;Александра Хопова;Изд. Колб.Телячья cинюга вар 450г МИРАТОРГ СК Короча РОССИЯ;;;239,9;0,1;45;1;;;РН117628;;;;;;;
Да;Фиксированная цена;Промо 11 по бонусной карте 08.06.2020-21.06.2020;50;08.06.2020;21.06.2020;Александра Хопова;Прод.мясн.к\в охл в\у Рулька свиная вес~1кгМираторг Россия;;;359,9;0,1;45;1;;;РН114287;;;;;;;
Да;Фиксированная цена;Промо 11 по бонусной карте 08.06.2020-21.06.2020;50;08.06.2020;21.06.2020;Александра Хопова;Паштет с творожным сыром и шпинатом 130г МИРАТОРГ РОССИЯ;;;64,9;0,1;45;1;;;РН200539;;;;;;;
Да;Фиксированная цена;Промо 11 по бонусной карте 08.06.2020-21.06.2020;50;08.06.2020;21.06.2020;Александра Хопова;Прод. мясн. из говяд. Ориг. с/в 25г BIG CHIEF JERKY Россия;;;139,9;0,1;45;1;;;РН200727;;;;;;;
Да;Фиксированная цена;Промо 11 по бонусной карте 08.06.2020-21.06.2020;50;08.06.2020;21.06.2020;Александра Хопова;Прод.мясн.Салями Палермо с/к нар. 100г Егорьевская ФКГ Россия;;;99,9;0,1;45;1;;;РН094269;;;;;;;
Да;Фиксированная цена;Промо 11 по бонусной карте 08.06.2020-21.06.2020;50;08.06.2020;21.06.2020;Александра Хопова;Прод.мясн.Деликатес №1 окорок 180г нар.Егорьевская ФГК Россия;;;169,9;0,1;45;1;;;РН105944;;;;;;;
Да;Фиксированная цена;Промо 11 по бонусной карте 08.06.2020-21.06.2020;50;08.06.2020;21.06.2020;Александра Хопова;Прод.мясн.Купеческая в/к нарез. 100г Егорьевская ФКГ Россия;;;79,9;0,1;45;1;;;РН106551;;;;;;;
